field_id,field_name,file_id,category,meaning,acquisition_mode,is_aspirational,notes
L1F_BASE_017,sat_count_per_epoch,SRC_BASE_RINEX,Body Geometry,Tracked satellite count over time. Acquisition ramp visible at session start.,auto,FALSE,
L1F_BASE_018,session_completed_normally,SRC_BASE_OPLOG,Integrity,True only if recording stopped by deliberate operator action. Null = unconfirmed.,auto,FALSE,
L1F_BASE_019,unexpected_shutdown_count,SRC_BASE_OPLOG,Integrity,Count of mid-session unexpected shutdowns/resets. >=1 raises BASE_SESSION_INTERRUPTED.,auto,FALSE,
L1F_BASE_020,battery_start_pct,SRC_BASE_OPLOG,Power,Battery level at session start (nullable; null for mains/solar).,auto,FALSE,
L1F_BASE_021,battery_end_pct,SRC_BASE_OPLOG,Power,Battery level at session end (nullable).,auto,FALSE,
L1F_BASE_022,battery_min_pct,SRC_BASE_OPLOG,Power,Lowest battery level reached. More important than endpoints — a deep dip means risk even if recovered.,auto,FALSE,
L1F_BASE_023,session_end_utc,SRC_BASE_OPLOG,Integrity,Device-reported session end (UTC). Cross-check partner for RINEX truncation detection.,auto,FALSE,
L1F_BASE_024,raw_log_download_confirmed,SRC_BASE_OPLOG,Integrity,True once the RINEX has actually been transferred off the device. Closes #8.,auto,FALSE,
L1F_BASE_025,antenna_model,SRC_BASE_FORM,Antenna Setup,Operator-selected antenna model. Selects the ANTEX/ARP geometry and is cross-checked against RINEX antenna_type.,user,FALSE,
L1F_BASE_026,antenna_height_m,SRC_BASE_FORM,Antenna Setup,Operator-entered height. Cross-checked against RINEX antenna_delta_h when present. The single highest-stakes unverifiable value.,user,FALSE,
L1F_BASE_027,antenna_height_units,SRC_BASE_FORM,Antenna Setup,Explicit units (m/ft) to prevent unit-mix errors.,user,FALSE,
L1F_BASE_028,antenna_measurement_type,SRC_BASE_FORM,Antenna Setup,VERTICAL or SLANT. Slant requires trig conversion and is more error-prone.,user,FALSE,
L1F_BASE_029,measured_to_reference,SRC_BASE_FORM,Antenna Setup,Explicit reference point measured to (ARP / slant mark / mount bottom). The field that kills the wrong-reference blunder (#1).,user,FALSE,
L1F_BASE_030,height_measured_count,SRC_BASE_FORM,Antenna Setup,Number of independent height measurements/confirmations. Corroboration signal.,user,FALSE,
L1F_BASE_031,pole_tripod_fixed_height,SRC_BASE_FORM,Antenna Setup,"Fixed pole/tripod height when applicable (known, not re-measured each time).",user,FALSE,
L1F_BASE_032,monument_id,SRC_BASE_FORM,Setup Verification,Monument/benchmark identifier. Handed to the Learning Engine for cross-session drift (#2/#13).,user,FALSE,
L1F_BASE_033,over_known_mark,SRC_BASE_FORM,Setup Verification,Boolean: was the base set over a known/established mark?,user,FALSE,
L1F_BASE_034,verified_by_second_person,SRC_BASE_FORM,Setup Verification,Boolean: was setup independently confirmed?,user,FALSE,
L1F_BASE_035,flight_start_utc,SRC_BASE_FORM,Flight Context,Drone flight start (UTC) from the upload bundle. Needed for coverage/buffer (#6).,user,FALSE,
L1F_BASE_036,flight_end_utc,SRC_BASE_FORM,Flight Context,Drone flight end (UTC). Needed for coverage and post-flight buffer.,user,FALSE,
