field_id,field_name,file_id,category,meaning,acquisition_mode,is_aspirational,notes
L1F_PROC_028,reportGCP_check_rmse_total_cm,SRC_PROC_REPORT,Quality,Total RMSE on check points (cm) — moment-of-truth indicator.,auto,FALSE,
L1F_PROC_029,reportGCP_check_rmse_xy_cm,SRC_PROC_REPORT,Quality,XY RMSE on check points.,auto,FALSE,
L1F_PROC_030,reportGCP_check_rmse_z_cm,SRC_PROC_REPORT,Quality,Z RMSE on check points.,auto,FALSE,
L1F_PROC_031,reportGCP_per_marker_residuals,SRC_PROC_REPORT,Quality,Per-marker total residual (cm) — for per-CP outlier detection.,auto,FALSE,
L1F_PROC_032,reportGCP_per_marker_image_pix,SRC_PROC_REPORT,Quality,Per-marker image residual in pixels (with image count in parentheses).,auto,FALSE,
L1F_PROC_033,reportGCP_per_marker_image_count,SRC_PROC_REPORT,Quality,Number of images each marker appears in (for triangulation strength).,auto,FALSE,
L1F_PROC_034,reportGCP_marker_roles,SRC_PROC_REPORT,Identity,Per-marker designated role (control vs check) as recorded in report.,auto,FALSE,
L1F_PROC_035,reportGCP_marker_locations,SRC_PROC_REPORT,Identity,Per-marker XYZ coordinates from Agisoft report.,auto,FALSE,
L1F_PROC_036,reportDEM_resolution_cm,SRC_PROC_REPORT,Quality,DEM resolution (cm/pix).,auto,FALSE,
L1F_PROC_037,reportDEM_point_density,SRC_PROC_REPORT,Quality,Point density (points/m²).,auto,FALSE,
L1F_PROC_038,reportDEM_z_range_min_m,SRC_PROC_REPORT,Identity,DEM minimum elevation.,auto,FALSE,
L1F_PROC_039,reportDEM_z_range_max_m,SRC_PROC_REPORT,Identity,DEM maximum elevation.,auto,FALSE,
L1F_PROC_040,reportDEM_void_statistics,SRC_PROC_REPORT,Quality,Void/hole statistics if reported (version-dependent).,auto,FALSE,
L1F_PROC_041,reportDEM_interpolation_enabled,SRC_PROC_REPORT,Setup,Was interpolation across voids enabled?,auto,FALSE,
L1F_PROC_042,reportDEM_source_data,SRC_PROC_REPORT,Setup,DEM source (Dense cloud / Sparse cloud / Depth maps).,auto,FALSE,
L1F_PROC_043,reportParams_alignment_accuracy,SRC_PROC_REPORT,Setup,Accuracy setting (Highest / High / Medium / Low / Lowest).,auto,FALSE,
L1F_PROC_044,reportParams_key_point_limit,SRC_PROC_REPORT,Setup,Key point limit value.,auto,FALSE,
L1F_PROC_045,reportParams_tie_point_limit,SRC_PROC_REPORT,Setup,Tie point limit value.,auto,FALSE,
L1F_PROC_046,reportParams_generic_preselection,SRC_PROC_REPORT,Setup,Generic preselection flag.,auto,FALSE,
L1F_PROC_047,reportParams_guided_image_matching,SRC_PROC_REPORT,Setup,Guided image matching flag.,auto,FALSE,
L1F_PROC_048,reportParams_adaptive_camera_fitting,SRC_PROC_REPORT,Setup,Adaptive camera model fitting flag.,auto,FALSE,
L1F_PROC_049,reportParams_optimization_parameters,SRC_PROC_REPORT,Setup,"List of parameters in BA optimization (e.g., f, b1, b2, cx, cy, k1-k3, p1, p2).",auto,FALSE,
L1F_PROC_050,reportParams_avg_tie_point_multiplicity,SRC_PROC_REPORT,Quality,Average tie point multiplicity.,auto,FALSE,
L1F_PROC_051,reportParams_max_reprojection_error_pix,SRC_PROC_REPORT,Quality,Max reprojection error (pix).,auto,FALSE,
L1F_PROC_052,reportParams_rms_reprojection_error_pix,SRC_PROC_REPORT,Quality,RMS reprojection error (pix).,auto,FALSE,
L1F_PROC_053,reportParams_depth_quality,SRC_PROC_REPORT,Setup,Depth maps quality (Ultra High / High / Medium / Low / Lowest).,auto,FALSE,
L1F_PROC_054,reportParams_depth_filtering_mode,SRC_PROC_REPORT,Setup,Filtering mode (Mild / Moderate / Aggressive / Disabled).,auto,FALSE,
L1F_PROC_055,reportParams_coordinate_system,SRC_PROC_REPORT,Reference,"Output coordinate system (e.g., WGS 84 EPSG::4326).",auto,FALSE,
L1F_PROC_056,reportParams_datum_geoid_transform,SRC_PROC_REPORT,Reference,Datum/geoid transform settings used during georeferencing (for internal transform check).,auto,FALSE,
L1F_PROC_057,reportParams_ortho_blending_mode,SRC_PROC_REPORT,Setup,Orthomosaic blending mode (Mosaic / Average / Disabled).,auto,FALSE,
L1F_PROC_058,reportParams_ortho_hole_filling,SRC_PROC_REPORT,Setup,Hole filling enabled flag.,auto,FALSE,
L1F_PROC_059,reportParams_ortho_ghosting_filter,SRC_PROC_REPORT,Setup,Ghosting filter enabled flag.,auto,FALSE,
L1F_PROC_060,reportPerDeliverable_dem_coordinate_system,SRC_PROC_REPORT,Reference,DEM section coordinate system.,auto,FALSE,
L1F_PROC_061,reportPerDeliverable_dense_cloud_coordinate_system,SRC_PROC_REPORT,Reference,Dense cloud coordinate system.,auto,FALSE,
L1F_PROC_062,reportPerDeliverable_orthomosaic_coordinate_system,SRC_PROC_REPORT,Reference,Orthomosaic coordinate system.,auto,FALSE,
L1F_PROC_063,reportDEM_ground_classification_ran,SRC_PROC_REPORT,Setup,Was ground classification executed before DTM generation?,auto,FALSE,
L1F_PROC_064,reportDEM_point_classification_params,SRC_PROC_REPORT,Setup,Ground classification parameters if any.,auto,FALSE,
L1F_PROC_065,reportSystem_software_version,SRC_PROC_REPORT,Identity,"Agisoft software version (e.g., 1.7.6 build 13524).",auto,FALSE,
L1F_PROC_066,reportSystem_software_name,SRC_PROC_REPORT,Identity,"Software name (e.g., Agisoft Metashape Professional).",auto,FALSE,
L1F_PROC_067,reportSystem_os,SRC_PROC_REPORT,Identity,Operating system.,auto,FALSE,
L1F_PROC_068,manifest_project_required_crs,SRC_PROC_MANIFEST,Project,"Required CRS for the project (e.g., EPSG:32647).",user,FALSE,
L1F_PROC_069,manifest_accuracy_target_m,SRC_PROC_MANIFEST,Project,"Survey accuracy target in meters (e.g., 0.02 for cm-grade).",user,FALSE,
L1F_PROC_070,manifest_capture_frame_crs,SRC_PROC_MANIFEST,Project,CRS in which capture was performed (for internal transform consistency check).,user,FALSE,
L1F_PROC_071,manifest_capture_geoid,SRC_PROC_MANIFEST,Project,Geoid model used during capture.,user,FALSE,
L1F_PROC_072,manifest_declared_camera_model,SRC_PROC_MANIFEST,Setup,Camera model declared by operator.,user,FALSE,
L1F_PROC_073,manifest_precalibration_expected,SRC_PROC_MANIFEST,Setup,Boolean: was pre-calibration expected to be loaded?,user,FALSE,
L1F_PROC_074,manifest_marker_roles_declared,SRC_PROC_MANIFEST,Setup,Per-marker declared role (control vs check) — for role-mismatch detection.,user,FALSE,
L1F_PROC_075,manifest_declared_site_cover,SRC_PROC_MANIFEST,Site,Site cover type (flat-structured / vegetated / mining-pit / mixed) — for filtering-mode appropriateness check.,user,FALSE,
L1F_PROC_076,manifest_declared_deliverables,SRC_PROC_MANIFEST,Deliverable,"List of expected deliverable types (ortho, dsm, dtm, point_cloud, mesh_3d).",user,FALSE,
L1F_PROC_077,manifest_dtm_deliverable_claimed,SRC_PROC_MANIFEST,Deliverable,Boolean: is DTM specifically claimed in deliverables (triggers ground-classification check).,user,FALSE,
L1F_PROC_078,manifest_software_version_baseline,SRC_PROC_MANIFEST,Setup,Expected baseline software version (for version drift check; v2: known-good list).,user,FALSE,
L1F_PROC_079,deliverable_ortho_present,SRC_PROC_DELIVERABLES,Identity,Boolean: orthomosaic file uploaded.,auto,FALSE,
L1F_PROC_080,deliverable_dsm_present,SRC_PROC_DELIVERABLES,Identity,Boolean: DSM file uploaded.,auto,FALSE,
L1F_PROC_081,deliverable_dtm_present,SRC_PROC_DELIVERABLES,Identity,Boolean: DTM file uploaded.,auto,FALSE,
L1F_PROC_082,deliverable_point_cloud_present,SRC_PROC_DELIVERABLES,Identity,Boolean: point cloud file uploaded.,auto,FALSE,
L1F_PROC_083,deliverable_mesh_3d_present,SRC_PROC_DELIVERABLES,Identity,Boolean: 3D mesh file uploaded.,auto,FALSE,
L1F_PROC_084,deliverable_ortho_crs,SRC_PROC_DELIVERABLES,Reference,CRS metadata in ortho file (geotiff CRS).,auto,FALSE,
L1F_PROC_085,deliverable_dsm_crs,SRC_PROC_DELIVERABLES,Reference,CRS metadata in DSM file.,auto,FALSE,
L1F_PROC_086,deliverable_dtm_crs,SRC_PROC_DELIVERABLES,Reference,CRS metadata in DTM file.,auto,FALSE,
L1F_PROC_087,deliverable_point_cloud_crs,SRC_PROC_DELIVERABLES,Reference,CRS metadata in point cloud file.,auto,FALSE,
L1F_PROC_088,pp_gcp_coord_file_gcp_positions,SRC_PROC_PP_HANDOFF,Reference,GCP coordinates from pre_processing GCP coord file (for typo cross-check).,auto,FALSE,
L1F_PROC_089,pp_manifest_capture_crs,SRC_PROC_PP_HANDOFF,Reference,Capture CRS as declared in pre_processing manifest.,auto,FALSE,
L1F_PROC_090,pp_manifest_capture_geoid,SRC_PROC_PP_HANDOFF,Reference,Capture geoid as declared in pre_processing manifest.,auto,FALSE,
