flag_id,flag_name,raised_by_type,condition,severity,covers_problems,meaning,raised_at_stage
FLG_PROC_024,PROC_LOW_MULTIPLICITY,indicator,multiplicity 3-4,HIGH,#10,Tie point multiplicity low.,threshold
FLG_PROC_025,PROC_VERY_LOW_MULTIPLICITY,indicator,multiplicity <3,CRITICAL,#10,Tie point multiplicity very low.,threshold
FLG_PROC_026,PROC_FILTERING_INSUFFICIENT,indicator,filtering=Mild + site=vegetated,HIGH,#13,Depth filtering insufficient for site type.,threshold
FLG_PROC_027,PROC_FILTERING_OVERSMOOTHED,indicator,filtering=Aggressive + site=flat-structured,HIGH,#13,Depth filtering over-smoothed for site type.,threshold
FLG_PROC_028,PROC_MARKER_WEAK,indicator,3-4 images per marker,HIGH,#14,Marker visible in too few images for robust triangulation.,threshold
FLG_PROC_029,PROC_MARKER_INSUFFICIENT_IMAGES,indicator,<3 images per marker,CRITICAL,#14,Marker insufficient images for triangulation.,threshold
FLG_PROC_030,PROC_LOCALIZED_RECON_COLLAPSE,indicator (v1 advisory),tie_density <1M/km² OR DEM has visible voids,HIGH (advisory in v1),#37,Localized reconstruction collapse suspected. v1 partial via global proxies; v2 full via density-map visual analysis.,threshold
FLG_PROC_031,PROC_ATMOSPHERIC_ARTIFACT_SUSPECTED,advisory (cross-handoff),composite of reprojection + tie density + camera pos,HIGH (advisory),#15,Atmospheric artifact suspected. Cross-handoff to drone chain.,threshold
FLG_PROC_032,PROC_CP_RMSE_MARGINAL,indicator,CP_RMSE 1-2× target,HIGH,#20,Check-point residuals marginal — accuracy claim weakened.,threshold
FLG_PROC_033,PROC_CP_RMSE_FAIL,indicator,CP_RMSE > 2× target,CRITICAL,#20,Check-point residuals fail accuracy target — survey accuracy claim broken.,threshold
FLG_PROC_034,PROC_GCP_RMSE_MARGINAL,indicator,GCP_RMSE 1-2× target,HIGH,#19,GCP residuals marginal.,threshold
FLG_PROC_035,PROC_GCP_RMSE_HIGH,indicator,GCP_RMSE 2-5× target,CRITICAL,#19,GCP residuals high.,threshold
FLG_PROC_036,PROC_GCP_RMSE_REJECT,indicator,GCP_RMSE > 5× target,CRITICAL,#19,GCP control unusable.,threshold
FLG_PROC_037,PROC_CP_OUTLIER_MILD,indicator,per-CP residual 1.5-2× ensemble mean,HIGH,#22,Individual CP outlier.,threshold
FLG_PROC_038,PROC_CP_OUTLIER_SEVERE,indicator,per-CP residual 2-3× ensemble mean,CRITICAL,#22,Individual CP severely off.,threshold
FLG_PROC_039,PROC_CP_OUTLIER_REJECT,indicator,per-CP residual > 3× ensemble mean,CRITICAL,#22,Individual CP unusable.,threshold
FLG_PROC_040,PROC_ROLE_MISMATCH,indicator,manifest marker_roles ≠ report marker_roles,CRITICAL,#25,Marker roles differ between declaration and Agisoft (covers CP→GCP and GCP→CP swaps).,threshold
FLG_PROC_041,PROC_GCP_TYPO,indicator,report GCP coords ≠ pre_processing GCP coord file,CRITICAL,#26,GCP coordinate entered in Agisoft differs from pre_processing source — likely typo.,threshold
FLG_PROC_042,PROC_CP_COUNT_STATISTICAL_WEAK,indicator,5 ≤ CP count < 10,HIGH,#24,CP count below statistical sufficiency.,threshold
FLG_PROC_043,PROC_CP_COUNT_INSUFFICIENT,indicator,CP count < 5,CRITICAL,#24,CP count insufficient for statistical claim.,threshold
FLG_PROC_044,PROC_GCP_COUNT_MARGINAL,indicator,GCP count 3-4,HIGH,#18,GCP count marginal for site extent.,threshold
FLG_PROC_045,PROC_GCP_COUNT_INSUFFICIENT,indicator,GCP count < 3,CRITICAL,#18,GCP count insufficient.,threshold
FLG_PROC_046,PROC_GCPS_CLUSTERED_IN_BUNDLE,indicator,GCP spatial coverage 60-80%,HIGH,#27,GCPs in bundle partially clustered.,threshold
FLG_PROC_047,PROC_GCPS_SEVERELY_CLUSTERED,indicator,GCP spatial coverage < 60%,CRITICAL,#27,GCPs in bundle severely clustered.,threshold
FLG_PROC_048,PROC_GCPS_NO_VERTICAL_COVERAGE_MARGINAL,indicator,GCP z_spread / terrain z_range 0.3-0.6,HIGH,#28,GCP vertical coverage marginal.,threshold
FLG_PROC_049,PROC_GCPS_NO_VERTICAL_COVERAGE,indicator,GCP z_spread / terrain z_range < 0.3,HIGH,#28,GCPs do not cover terrain vertical extent.,threshold
FLG_PROC_050,PROC_Z_XY_HIGH,indicator,z/xy residual ratio 1.5-2,HIGH,#21,Vertical residual elevated relative to horizontal.,threshold
FLG_PROC_051,PROC_Z_XY_SEVERE,indicator,z/xy residual ratio > 2,HIGH,#21,Vertical residual severely elevated.,threshold
FLG_PROC_052,PROC_MARKER_PIX_HIGH,indicator,per-marker pix_err / ensemble 1.5-2,HIGH,#23,Marker image pixel residual elevated.,threshold
FLG_PROC_053,PROC_MARKER_PIX_SEVERE,indicator,per-marker pix_err / ensemble > 2,HIGH,#23,Marker image pixel residual severely elevated.,threshold
FLG_PROC_054,PROC_RECONSTRUCTION_DRIFT,indicator (composite),adequate GCPs + good GCP RMSE + bad CP RMSE,HIGH,#29,Reconstruction drift composite diagnostic — terrain/coverage/atmospheric issue suspected.,threshold
FLG_PROC_055,PROC_OUTPUT_CRS_GEOGRAPHIC,indicator,"output_crs is geographic (e.g., EPSG:4326)",CRITICAL,#30,Output CRS geographic not projected — linear measurements unreliable.,threshold
FLG_PROC_056,PROC_INTERNAL_TRANSFORM_WRONG,indicator,report transform settings ≠ capture frame,CRITICAL,#36,"Internal georeferencing transform inconsistent with capture frame — silent-invisible failure (label correct, transform wrong).",threshold
FLG_PROC_057,PROC_DSM_LABELLED_DTM,indicator,DTM claimed + no ground classification ran,HIGH,#39,DSM delivered as DTM (no ground classification).,threshold
FLG_PROC_058,PROC_DEM_INTERPOLATED_VOIDS,indicator,high DEM void interpolation fraction,HIGH,#38,DEM holes interpolated over voids — fabricated terrain in gap regions.,threshold
FLG_PROC_059,PROC_DEM_RES_COARSE,indicator,dem_resolution / GSD 3-5×,MEDIUM,#32,DEM coarser than image GSD warrants.,threshold
FLG_PROC_060,PROC_DEM_RES_VERY_COARSE,indicator,dem_resolution / GSD 5-10×,HIGH,#32,DEM very coarse vs GSD.,threshold
FLG_PROC_061,PROC_DELIVERABLE_FILE_MISSING,indicator,manifest declares deliverable but file not uploaded,HIGH,#34,Declared deliverable file not uploaded — v1.1 per-deliverable view returns null for that deliverable.,threshold
FLG_PROC_062,PROC_SOFTWARE_VERSION_BUGGY,advisory (v1),software version in known-buggy list (v2 maintained),"MEDIUM (advisory, zero scoring weight in v1)",#33,Software version with known issues — v1: catalogued only; v2: scored when CBMI maintains list.,threshold
FLG_PROC_063,PROC_TARGET_DETECTION_FAILURE,handoff,OWNED_BY_PROC via CV3,HIGH,#32 (PP),Target washed away/displaced — detected here via per-CP outlier residuals (CV3). Inherited from PP#32.,handoff
FLG_PROC_064,PROC_PER_DELIVERABLE_FITNESS,handoff,OWNED_BY_DELIVERY_LAYER,INFORMATIONAL,#35,Per-deliverable fitness for customer use case — future delivery layer concern.,handoff
