derived_id,derived_name,kind,formula_expression,meaning,input_field_names
L2D_PROC_017,cp_rmse_relative_to_target,scoring,reportGCP_check_rmse_total_cm / (manifest_accuracy_target_m * 100),CP RMSE as multiple of accuracy target — primary moment-of-truth measure.,reportGCP_check_rmse_total_cm;manifest_accuracy_target_m
L2D_PROC_018,gcp_rmse_relative_to_target,scoring,reportGCP_control_rmse_total_cm / (manifest_accuracy_target_m * 100),GCP RMSE as multiple of accuracy target.,reportGCP_control_rmse_total_cm;manifest_accuracy_target_m
L2D_PROC_019,per_cp_outlier_ratio,scoring,per-CP: reportGCP_per_marker_residuals (filtered to CPs) / mean(CP residuals),Per-CP residual as multiple of ensemble mean.,reportGCP_per_marker_residuals;reportGCP_marker_roles
L2D_PROC_020,marker_role_match,scoring,reportGCP_marker_roles vs manifest_marker_roles_declared per-marker comparison,Per-marker role consistency between manifest declaration and Agisoft report.,reportGCP_marker_roles;manifest_marker_roles_declared
L2D_PROC_021,gcp_coord_match,scoring,reportGCP_marker_locations (control points) vs pp_gcp_coord_file_gcp_positions per-GCP comparison within noise tolerance,Per-GCP coordinate consistency between Agisoft report and pre_processing GCP coord file.,reportGCP_marker_locations;pp_gcp_coord_file_gcp_positions
L2D_PROC_022,gcp_bundle_distribution_coverage,scoring,spatial coverage fraction of reportGCP_marker_locations (control points) over site extent,How well GCPs in bundle cover the survey extent.,reportGCP_marker_locations
L2D_PROC_023,gcp_vertical_coverage_ratio,scoring,(max(GCP_z) - min(GCP_z)) / (reportDEM_z_range_max_m - reportDEM_z_range_min_m),GCP vertical spread relative to terrain vertical range.,reportGCP_marker_locations;reportDEM_z_range_min_m;reportDEM_z_range_max_m
L2D_PROC_024,z_xy_residual_ratio,scoring,reportGCP_check_rmse_z_cm / reportGCP_check_rmse_xy_cm,Vertical vs horizontal residual ratio.,reportGCP_check_rmse_z_cm;reportGCP_check_rmse_xy_cm
L2D_PROC_025,per_marker_pix_outlier_ratio,scoring,per-marker: reportGCP_per_marker_image_pix / mean(per_marker_image_pix),Per-marker image pixel residual as multiple of ensemble mean.,reportGCP_per_marker_image_pix
L2D_PROC_026,reconstruction_drift_composite,scoring,IF gcp_count >= 3 AND gcp_rmse_relative_to_target <= 1 AND cp_rmse_relative_to_target > 2 THEN composite-flag,Diagnostic composite: adequate control + good GCP residuals + bad CP residuals = terrain/coverage/atmospheric issue.,reportGCP_control_points_count;gcp_rmse_relative_to_target;cp_rmse_relative_to_target
L2D_PROC_027,markers_total_zero,scoring,reportGCP_total_markers_count == 0,No markers at all (CATASTROPHIC flag-only).,reportGCP_total_markers_count
L2D_PROC_028,gcps_used_zero,scoring,reportGCP_control_points_count == 0,No control points used in bundle (CRITICAL flag-only).,reportGCP_control_points_count
L2D_PROC_029,output_crs_project_match,scoring,reportParams_coordinate_system vs manifest_project_required_crs,Output CRS match with project requirement.,reportParams_coordinate_system;manifest_project_required_crs
L2D_PROC_030,output_crs_is_projected,scoring,"parse EPSG of reportParams_coordinate_system, classify geographic vs projected",Whether output CRS is projected (suitable for survey measurements).,reportParams_coordinate_system
L2D_PROC_031,internal_transform_match,scoring,reportParams_datum_geoid_transform vs pp_manifest_capture_crs + pp_manifest_capture_geoid,Internal georeferencing transform consistency with capture frame.,reportParams_datum_geoid_transform;pp_manifest_capture_crs;pp_manifest_capture_geoid
L2D_PROC_032,dtm_classification_consistency,scoring,IF manifest_dtm_deliverable_claimed=True AND reportDEM_ground_classification_ran=False THEN flag,DTM claimed but ground classification not run = DSM-labelled-as-DTM.,manifest_dtm_deliverable_claimed;reportDEM_ground_classification_ran
L2D_PROC_033,dem_void_interpolation_fraction,scoring,parse reportDEM_void_statistics for void/hole interpolation fraction,Fraction of DEM area filled by interpolation across data voids (version-dependent field).,reportDEM_void_statistics;reportDEM_interpolation_enabled
L2D_PROC_034,dem_to_gsd_ratio,scoring,reportDEM_resolution_cm / reportSurveyData_ground_resolution_cm,DEM resolution as multiple of image GSD.,reportDEM_resolution_cm;reportSurveyData_ground_resolution_cm
L2D_PROC_035,deliverable_completeness,scoring,For each in manifest_declared_deliverables: check corresponding deliverable_*_present.,Per-deliverable presence check.,manifest_declared_deliverables;deliverable_ortho_present;deliverable_dsm_present;deliverable_dtm_present;deliverable_point_cloud_present;deliverable_mesh_3d_present
L2D_PROC_036,software_version_class,scoring,v1: reportSystem_software_version vs manifest_software_version_baseline. v2: vs CBMI-maintained known-good/buggy list.,Software version classification (v1: declared baseline match; v2: known-buggy list maintained).,reportSystem_software_version;manifest_software_version_baseline
L2D_PROC_037,cp_count_value,scoring,reportGCP_check_points_count,Direct read for verification_status determination.,reportGCP_check_points_count
