field_id,field_name,file_id,category,meaning,acquisition_mode,is_aspirational,notes
L1F_PP_017,project_required_crs,SRC_PP_MANIFEST,Project,Required CRS / datum for the survey deliverable.,user,FALSE,
L1F_PP_018,project_required_geoid,SRC_PP_MANIFEST,Project,Required geoid model.,user,FALSE,
L1F_PP_019,project_required_height_mode,SRC_PP_MANIFEST,Project,Required height mode (orthometric / ellipsoidal).,user,FALSE,
L1F_PP_020,project_required_units,SRC_PP_MANIFEST,Project,Required linear units (m / US Survey ft / Intl ft).,user,FALSE,
L1F_PP_021,project_required_projection,SRC_PP_MANIFEST,Project,"Required projection (zone, false-easting/northing).",user,FALSE,
L1F_PP_022,accuracy_target_m,SRC_PP_MANIFEST,Project,"Survey accuracy target (e.g., 0.02 m for cm-grade).",user,FALSE,
L1F_PP_023,declared_crs_per_artifact,SRC_PP_MANIFEST,Reference,CRS declared per artifact (geotag / GCP / CP).,user,FALSE,
L1F_PP_024,declared_geoid_per_artifact,SRC_PP_MANIFEST,Reference,Geoid model declared per artifact.,user,FALSE,
L1F_PP_025,declared_height_mode_per_artifact,SRC_PP_MANIFEST,Reference,Height mode declared per artifact.,user,FALSE,
L1F_PP_026,declared_units_per_artifact,SRC_PP_MANIFEST,Reference,Units declared per artifact.,user,FALSE,
L1F_PP_027,declared_projection,SRC_PP_MANIFEST,Reference,Projection declared.,user,FALSE,
L1F_PP_028,realization_epoch_per_artifact,SRC_PP_MANIFEST,Reference,ITRF realization and epoch declared per artifact.,user,FALSE,
L1F_PP_029,localization_applied_declared,SRC_PP_MANIFEST,Reference,Boolean: was site localization applied? Required field — undisclosed (null) → flag fires.,user,FALSE,
L1F_PP_030,customer_supplied_coord_crs,SRC_PP_MANIFEST,Reference,CRS declaration for customer-supplied coordinates.,user,FALSE,
L1F_PP_031,customer_accuracy_claim,SRC_PP_MANIFEST,Reference,Customer-supplied accuracy claim (with vs without value).,user,FALSE,
L1F_PP_032,declared_path_geotag,SRC_PP_MANIFEST,Path,Path category for drone PPK: LOCAL_BASE_PPK / CORS / CLOUD / OTHER.,user,FALSE,
L1F_PP_033,declared_path_gcp,SRC_PP_MANIFEST,Path,Path category for GCP: AUTONOMOUS / LOCAL_BASE_PPK / CORS / CLOUD / PUBLISHED_BENCHMARK / CUSTOMER_SUPPLIED.,user,FALSE,
L1F_PP_034,declared_path_cp,SRC_PP_MANIFEST,Path,Path category for CP (mostly inherited from capture).,user,FALSE,
L1F_PP_035,declared_software_per_artifact,SRC_PP_MANIFEST,Software,Software used per artifact (TBC / Emlid Studio / RTKLIB / Cloud / Custom).,user,FALSE,
L1F_PP_036,declared_software_version_per_artifact,SRC_PP_MANIFEST,Software,Software version.,user,FALSE,
L1F_PP_037,declared_antenna_per_artifact,SRC_PP_MANIFEST,Setup,Antenna model declared per artifact (for PCO).,user,FALSE,
L1F_PP_038,baseline_length_km,SRC_PP_MANIFEST,Setup,Distance from drone/GCP rover to base/CORS.,user,FALSE,
L1F_PP_039,captured_image_count,SRC_PP_MANIFEST,Identity,Count of images captured (for completeness check vs geotag_count).,user,FALSE,
L1F_PP_040,planned_forward_overlap,SRC_PP_MANIFEST,Flight Plan,Declared forward overlap (%).,user,FALSE,
L1F_PP_041,planned_side_overlap,SRC_PP_MANIFEST,Flight Plan,Declared side overlap (%).,user,FALSE,
L1F_PP_042,site_cover_declared,SRC_PP_MANIFEST,Site,Declared site ground cover (open / vegetated / mixed).,user,FALSE,
L1F_PP_043,dtm_in_deliverables,SRC_PP_MANIFEST,Deliverable,Boolean: is DTM in the project deliverables?,user,FALSE,
L1F_PP_044,target_size_cm,SRC_PP_MANIFEST,Target,Declared GCP/CP target physical size.,user,FALSE,
L1F_PP_045,planned_gsd_cm,SRC_PP_MANIFEST,Flight Plan,Planned ground sample distance.,user,FALSE,
L1F_PP_046,target_type,SRC_PP_MANIFEST,Target,Target physical type.,user,FALSE,
L1F_PP_047,base_file_id,SRC_PP_MANIFEST,Identity,Identifier for the base RINEX file used in PPK.,user,FALSE,
L1F_PP_048,drone_session_start_utc,SRC_PP_MANIFEST,Timing,Drone flight start (UTC).,user,FALSE,
L1F_PP_049,drone_session_end_utc,SRC_PP_MANIFEST,Timing,Drone flight end (UTC).,user,FALSE,
L1F_PP_050,base_session_start_utc,SRC_PP_MANIFEST,Timing,Base recording start (UTC).,user,FALSE,
L1F_PP_051,base_session_end_utc,SRC_PP_MANIFEST,Timing,Base recording end (UTC).,user,FALSE,
L1F_PP_052,gcp_coord_determination_date,SRC_PP_MANIFEST,Provenance,Date GCP coordinates were determined (for staleness check).,user,FALSE,
L1F_PP_053,flight_date,SRC_PP_MANIFEST,Provenance,Date of drone flight (for delta to coord-determination date).,user,FALSE,
L1F_PP_054,reconstruction_extent_m2,SRC_PP_MANIFEST,Site,Surveyed reconstruction extent (area).,user,FALSE,
L1F_PP_055,reconstruction_extent_polygon,SRC_PP_MANIFEST,Site,Geometry of reconstruction extent for distribution checks.,user,FALSE,
L1F_PP_056,flight_conditions_declared,SRC_PP_MANIFEST,Site,Declared flight conditions (clear / hazy / monsoon / thermal-prone).,user,FALSE,
L1F_PP_057,cors_epoch_coverage_during_flight,SRC_PP_REPORT,Quality,From processing report: CORS coverage during drone flight window.,auto,FALSE,
L1F_PP_058,time_sync_residuals,SRC_PP_REPORT,Quality,From processing report: drone-base time-sync residual statistics.,auto,FALSE,
L1F_PP_059,per_gcp_residuals,SRC_PP_REPORT,Quality,From processing report: per-GCP residuals from adjustment.,auto,FALSE,
L1F_PP_060,cors_quality_metrics,SRC_PP_REPORT,Quality,From processing report: CORS station health during obs window.,auto,FALSE,
L1F_PP_061,report_actual_settings,SRC_PP_REPORT,Reference,"From processing report: settings actually used (datum, geoid, antenna, tolerances).",auto,FALSE,
L1F_PP_062,tiepoint_density,SRC_PP_REPORT,Quality,From processing report: tie-point density measurements.,auto,FALSE,
