flag_id,flag_name,raised_by_type,condition,severity,covers_problems,meaning,raised_at_stage
FLG_PP_036,PP_GCP_CUSTOMER_INADEQUATE,indicator,customer_accuracy_claim < target,CRITICAL,#18,Customer-declared GCP accuracy claim inadequate for project.,threshold
FLG_PP_037,PP_GCP_CUSTOMER_NO_ACCURACY_CLAIM,indicator (reviewer-blocking),customer_accuracy_claim absent,CRITICAL,#18,Customer-supplied GCPs without accuracy claim — reviewer-blocking.,threshold
FLG_PP_038,PP_GCP_ID_PARTIAL_MISMATCH,indicator,minor ID mismatches between coord file and form,HIGH,#19,Some GCP IDs disagree between coord file and form.,threshold
FLG_PP_039,PP_GCP_ID_MISMATCH,indicator,major ID mismatches,HIGH,#19,GCP ID disagreement is major — provenance integrity questioned.,threshold
FLG_PP_040,PP_GCP_COORDS_AGED,indicator,GCP coords 180-365 days old,HIGH,#21,Customer-supplied GCP coordinates aging — marks may have moved.,threshold
FLG_PP_041,PP_GCP_COORDS_STALE,indicator,GCP coords > 365 days old,HIGH,#21,Customer-supplied GCP coordinates stale.,threshold
FLG_PP_042,PP_COORD_MISPARSE,indicator,parsed coords outside declared bounding box,HIGH,#40,Axis-swap or decimal misparse detected via bounding-box sanity.,threshold
FLG_PP_043,PP_GCP_RESIDUAL_OUTLIERS,indicator,some GCP residuals exceed tolerance (report-dependent),HIGH,#20,GCP residual outliers in processing report.,threshold
FLG_PP_044,PP_GCP_RESIDUAL_FAILURES,indicator,many GCP residuals exceed tolerance (report-dependent),CRITICAL,#20,Multiple GCP residual failures.,threshold
FLG_PP_045,PP_CORS_STATION_DEGRADED,indicator,CORS quality metrics degraded,HIGH,#22,CORS station had degraded performance during obs window.,threshold
FLG_PP_046,PP_CORS_STATION_UNHEALTHY,indicator,CORS quality metrics poor,CRITICAL,#22,CORS station unhealthy during obs window.,threshold
FLG_PP_047,PP_GCP_COUNT_MARGINAL,indicator,GCP count marginal for extent,HIGH,#27,GCP count is borderline for site extent.,threshold
FLG_PP_048,PP_GCP_COUNT_INSUFFICIENT,indicator,GCP count insufficient for extent,CRITICAL,#27,GCP count insufficient for site extent.,threshold
FLG_PP_049,PP_GCP_CLUSTERED,indicator,GCP distribution partial,HIGH,#28,GCPs not well-distributed across reconstruction extent.,threshold
FLG_PP_050,PP_GCP_SEVERELY_CLUSTERED,indicator,GCP distribution severely clustered,CRITICAL,#28,GCPs severely clustered.,threshold
FLG_PP_051,PP_TARGET_MARGINAL,indicator,target 2-3 px at GSD,HIGH,#31,Target borderline visible at planned GSD.,threshold
FLG_PP_052,PP_TARGET_INVISIBLE,indicator,target < 2 px at GSD,CRITICAL,#31,Target too small at planned GSD — likely undetectable.,threshold
FLG_PP_053,PP_VEG_DTM_UNRELIABLE,advisory,vegetated + DTM-claimed,HIGH (advisory),#38,"Vegetated site with DTM in deliverables — DTM is canopy, not terrain.",threshold
FLG_PP_054,PP_BUGGY_SOFTWARE_VERSION,advisory,software in known-buggy list (v2),"MEDIUM (advisory, zero weight in v1)",#35,Software version with known bugs (v1: catalogued only; v2: scored).,threshold
FLG_PP_055,PP_NO_INDEPENDENT_VERIFICATION,informational,verification_status != VERIFIED,CRITICAL (informational),#26,Survey was not independently verified. Score still valid but unverified — see verification_status field.,verification_status
FLG_PP_056,PP_STAGE2_TARGET_DETECTION_FAILURE,handoff,OWNED_BY_PROCESSING,HIGH,#32,Target washed away — detected at processing stage via ODM. Documented as known limitation.,handoff
FLG_PP_057,PP_STOCKPILE_BOUNDARY_DISPUTE,handoff,OWNED_BY_ANALYTICS,HIGH,#39,Stockpile toe/base-plane ambiguity. Cross-handoff to volume analytics.,handoff
FLG_PP_058,PP_CP_SIGMA_MARGINAL,indicator,σ_h 1-2× target on CP,HIGH,#23,CP σ at 1-2× target — marginal verification quality.,threshold
FLG_PP_059,PP_CP_SIGMA_HIGH,indicator,σ_h 2-5× target on CP,CRITICAL,#23,CP σ at 2-5× target — degraded verification quality.,threshold
FLG_PP_060,PP_CP_SIGMA_REJECT,indicator,σ_h > 5× target on CP,CRITICAL,#23,CP σ catastrophically high — point not usable for verification.,threshold
FLG_PP_061,PP_CP_COUNT_STATISTICAL_WEAK,indicator,5 ≤ cp_count < 10,HIGH,#29,CP count below statistical sufficiency threshold for defensible RMSE claim.,threshold
FLG_PP_062,PP_CP_COUNT_INSUFFICIENT,indicator,cp_count < 5,CRITICAL,#29,Very few check points — RMSE claim statistically indefensible.,threshold
FLG_PP_063,PP_CP_CLUSTERED,indicator,60% ≤ coverage < 80%,HIGH,#30,CPs partially clustered geographically.,threshold
FLG_PP_064,PP_CP_SEVERELY_CLUSTERED,indicator,coverage < 60%,CRITICAL,#30,CPs severely clustered — verification limited to local area.,threshold
FLG_PP_065,PP_CP_GCP_TOO_CLOSE,indicator,min CP-GCP distance 10-50m,HIGH,#25,CPs not spatially independent — within correlation length of GCPs.,threshold
FLG_PP_066,PP_CP_GCP_OVERLAPPING,indicator,min CP-GCP distance < 10m,CRITICAL,#25,CPs essentially co-located with GCPs — independence catastrophically compromised.,threshold
FLG_PP_067,PP_NO_CHECK_POINTS,indicator,cp_count = 0,CRITICAL,#26,No designated check points. cp_coord_artifact_score = null. verification_status = UNVERIFIED_NO_CPS. pre_processing_score unaffected.,null_handler
