indicator_id,indicator_name,display_name,building_block_id,weight_in_block,meaning,input_derived_field_ids,input_source_field_ids,source_chain_text,has_internal_gate,gate_condition,gate_action
L3I_FC_001,mission_coverage_score,Area Coverage,BB_MISSION_EXEC,0.3,What fraction of the planned survey area was actually flown? An unflown area is unflown data.,L2D_FC_010,,area_coverage_ratio <- actual_coverage_pct / 100 <- L2D_FC_004 derived from image footprints + BIN waypoints,FALSE,,
L3I_FC_002,mission_gsd_score,GSD Execution Fidelity,BB_MISSION_EXEC,0.22,How closely did the achieved GSD match what was planned? GSD determines the resolution of the deliverable.,L2D_FC_005,,gsd_execution_ratio <- actual_gsd_cm / planned_gsd_cm <- BIN altitude + EXIF/calibration camera params,FALSE,,
L3I_FC_003,mission_overlap_score,Overlap Execution Fidelity,BB_MISSION_EXEC,0.22,How closely did achieved overlap match planned overlap? Insufficient overlap creates reconstruction gaps.,L2D_FC_006;L2D_FC_007,,"min(overlap_fwd_execution_ratio, overlap_lat_execution_ratio) <- computed actual overlap (L2D_IMG) / user-input planned (SRC_UI_01)",FALSE,,
L3I_FC_004,mission_altitude_score,Altitude Execution Fidelity,BB_MISSION_EXEC,0.13,How consistently did the drone maintain the planned altitude?,L2D_FC_008,,altitude_execution_ratio <- actual_altitude_mean_m / planned_altitude_m <- BIN CTUN + BIN CMD,FALSE,,
L3I_FC_005,wind_condition_score,Wind Conditions,BB_MISSION_EXEC,0.05,Were wind conditions within safe operating limits during the survey?,L2D_FC_011,L1F_API_001,wind_impact_ratio <- mean_wind_speed_ms / 12.0 <- Open-Meteo API (with BIN ATT fallback),FALSE,,
L3I_FC_006,mission_altitude_consistency_score,Altitude Consistency During Session,BB_MISSION_EXEC,0.05,How much did altitude fluctuate during the survey cruise lines?,L2D_FC_012,,altitude_variance_m <- std_dev(CTUN altitude) during cruise lines <- BIN CTUN,FALSE,,
L3I_FC_007,mission_completion_score,Mission Completion,BB_MISSION_EXEC,0.03,Did the drone complete all planned waypoints?,L2D_FC_009,,mission_completion_ratio <- waypoints_completed / planned_waypoint_count <- BIN MISE + BIN CMD,FALSE,,vibration_score and gimbal_score from FDR are now ACTIVE (BIN supplies them — no longer disabled).
L3I_CAL_001,calibration_source_score,Calibration Source Quality (CAL_CONF),BB_CAL_CONF,0.5,Where did the calibration parameters originate? Physically measured calibration is ground truth.,,L1F_CAL_006,calibration_source <- Camera Calibration source file,FALSE,,Shares logical name with L3I_IMG_007 but uses DIFFERENT thresholds (raises additional flags).
L3I_CAL_002,calibration_match_score,Camera Hardware Match (CAL_CONF),BB_CAL_CONF,0.35,Does the calibration file match the actual camera hardware used in this survey?,L2D_IMG_006;L2D_IMG_007,,camera_make_match + camera_model_match <- EXIF.Make/Model vs calibration file,FALSE,,Shares logical name with L3I_IMG_006 but uses DIFFERENT thresholds. See sheet 05.
L3I_CAL_003,calibration_age_score,Calibration Recency,BB_CAL_CONF,0.15,How recently was this calibration performed or verified?,L2D_IMG_008,,"calibration_age_months <- months_between(calibration_date, survey_date) <- L1F_CAL_007 + L1F_BIN_CAM_002",FALSE,,
