field_id,field_name,file_id,subsystem,category,meaning,data_type,units,acquisition_mode,is_aspirational,notes
L1F_GNSS_017,any_gap_gt_60s,SRC_GNSS_01,GNSS Receiver (Rover),Signal Integrity,Boolean: any single gap exceeding 60 seconds. A gap this long during a short survey effectively breaks PPK.,boolean,,auto,FALSE,Drives critical_gap_present derived and rover_continuity_score hard rule.
L1F_GNSS_018,receiver_type,SRC_GNSS_01,GNSS Receiver (Rover),Signal Integrity,Receiver hardware model from RINEX header. Used to apply receiver-specific corrections during processing.,string,,auto,FALSE,
L1F_GNSS_019,antenna_type,SRC_GNSS_01,GNSS Receiver (Rover),Signal Integrity,Antenna model from RINEX header. Used for antenna phase centre corrections in precise positioning.,string,,auto,FALSE,
L1F_BIN_CAM_001,image_id,SRC_FC_BIN,Flight Controller,CAM Per-Image (was MRK),"Image file identifier (CAM.Img). One CAM record per shutter trigger, matching each physical image on the SD card.",string,,auto,FALSE,Replaces former L1F_MRK_001 from MRK file.
L1F_BIN_CAM_002,gnss_timestamp_utc,SRC_FC_BIN,Flight Controller,CAM Per-Image (was MRK),Precise UTC timestamp of the shutter trigger event derived from CAM.GPSWeek + CAM.GPSTime.,datetime,UTC sub-millisecond,auto,FALSE,Replaces former L1F_MRK_002.
L1F_BIN_CAM_003,gnss_week,SRC_FC_BIN,Flight Controller,CAM Per-Image (was MRK),GPS week number at time of capture (CAM.GPSWeek).,integer,weeks,auto,FALSE,Replaces former L1F_MRK_003.
L1F_BIN_CAM_004,time_of_week_sec,SRC_FC_BIN,Flight Controller,CAM Per-Image (was MRK),Seconds elapsed since the start of the GPS week at shutter trigger (CAM.GPSTime).,float,seconds,auto,FALSE,Replaces former L1F_MRK_004.
L1F_BIN_CAM_005,cam_record_count,SRC_FC_BIN,Flight Controller,CAM File Integrity,Total number of CAM records in the BIN. Equivalent to mrk_image_count. Should match total_images from the SD card.,integer,count,auto,FALSE,Replaces former L1F_MRK_005.
L1F_BIN_CAM_006,cam_records_present,SRC_FC_BIN,Flight Controller,CAM File Integrity,Boolean: CAM messages were found in the BIN. Equivalent to mrk_file_present. Absence forces fallback to EXIF timestamps for epoch matching.,boolean,,auto,FALSE,Replaces former L1F_MRK_006. Absence flagged as CAM_RECORDS_MISSING (was MRK_FILE_MISSING).
L1F_BIN_MP_001,planned_altitude_m,SRC_FC_BIN,Flight Controller,Mission Plan (CMD),"Target flight altitude AGL in metres, read from CMD.Alt for each NAV_WAYPOINT.",float,metres AGL,user_set,FALSE,From BIN CMD messages.
L1F_BIN_MP_002,planned_speed_ms,SRC_FC_BIN,Flight Controller,Mission Plan (CMD),"Target cruise speed in m/s, read from DO_CHANGE_SPEED commands (CId=178) in CMD.",float,m/s,user_set,FALSE,From BIN CMD messages.
L1F_BIN_MP_003,planned_waypoint_count,SRC_FC_BIN,Flight Controller,Mission Plan (CMD),"Total waypoints in the mission, read from CMD.CTot. NAV_WAYPOINT count specifically used for completion ratio.",integer,count,user_set,FALSE,From BIN CMD messages.
L1F_BIN_MP_004,takeoff_point_latitude,SRC_FC_BIN,Flight Controller,Mission Plan (CMD),"Planned launch latitude, read from NAV_TAKEOFF CMD.Lat.",float,decimal degrees,user_set,FALSE,From BIN CMD NAV_TAKEOFF.
L1F_BIN_MP_005,takeoff_point_longitude,SRC_FC_BIN,Flight Controller,Mission Plan (CMD),"Planned launch longitude, read from NAV_TAKEOFF CMD.Lng.",float,decimal degrees,user_set,FALSE,From BIN CMD NAV_TAKEOFF.
L1F_BIN_MP_006,takeoff_point_altitude,SRC_FC_BIN,Flight Controller,Mission Plan (CMD),"Planned launch elevation, read from NAV_TAKEOFF CMD.Alt. AGL altitude calculations use this as the ground reference.",float,metres,user_set,FALSE,From BIN CMD NAV_TAKEOFF.
L1F_BIN_TLM_001,actual_altitude_mean_m,SRC_FC_BIN,Flight Controller,Mission Execution (telemetry),"Mean actual flight altitude AGL throughout the survey, computed from CTUN.Alt during cruise.",float,metres AGL,auto,FALSE,From BIN CTUN messages.
L1F_BIN_TLM_002,actual_altitude_min_m,SRC_FC_BIN,Flight Controller,Mission Execution (telemetry),Lowest altitude recorded during the survey (CTUN.Alt min). Includes takeoff/landing if not filtered.,float,metres AGL,auto,FALSE,From BIN CTUN messages.
L1F_BIN_TLM_003,actual_altitude_max_m,SRC_FC_BIN,Flight Controller,Mission Execution (telemetry),Highest altitude recorded (CTUN.Alt max). Large altitude variance indicates terrain-following issues or wind disturbance.,float,metres AGL,auto,FALSE,From BIN CTUN messages.
L1F_BIN_TLM_004,flight_duration_sec,SRC_FC_BIN,Flight Controller,Flight Events,"Total airborne time in seconds, computed as ARM event timestamp delta (DISARM minus ARM).",float,seconds,auto,FALSE,From BIN ARM/EV messages.
L1F_BIN_TLM_005,waypoints_completed,SRC_FC_BIN,Flight Controller,Flight Events,"Number of mission waypoints the drone successfully visited, counted from MISE NAV_WAYPOINT execution events.",integer,count,auto,FALSE,From BIN MISE messages.
L1F_BIN_TLM_006,battery_start_pct,SRC_FC_BIN,Flight Controller,Flight Events,"Battery level at takeoff, read from BAT.RemPct at the ARM event. Low starting battery increases RTB risk.",float,percent,auto,FALSE,From BIN BAT messages at ARM event.
L1F_BIN_TLM_007,battery_end_pct,SRC_FC_BIN,Flight Controller,Flight Events,"Battery level at landing, read from BAT.RemPct at the DISARM event. Very low values indicate near-forced landing.",float,percent,auto,FALSE,From BIN BAT messages at DISARM event.
L1F_BIN_FDR_001,log_present,SRC_FC_BIN,Flight Controller,FDR IMU & Vibration,Boolean: BIN file exists and parsed successfully. Always TRUE in this consolidated pipeline as the BIN is the primary FC source.,boolean,,auto,FALSE,No longer aspirational — BIN is the primary FC source.
L1F_BIN_FDR_002,log_duration_sec,SRC_FC_BIN,Flight Controller,FDR IMU & Vibration,Duration of the recorded BIN log. Should match flight_duration_sec.,float,seconds,auto,FALSE,No longer aspirational.
L1F_BIN_FDR_003,vibration_x_mean_ms2,SRC_FC_BIN,Flight Controller,FDR IMU & Vibration,Mean vibration on X axis during cruise (VIBE.VibeX mean). High vibration causes image blur and degrades photogrammetric reconstruction.,float,m/s²,auto,FALSE,No longer aspirational — from BIN VIBE messages.
L1F_BIN_FDR_004,vibration_y_mean_ms2,SRC_FC_BIN,Flight Controller,FDR IMU & Vibration,Mean vibration on Y axis during cruise (VIBE.VibeY mean).,float,m/s²,auto,FALSE,No longer aspirational.
L1F_BIN_FDR_005,vibration_z_mean_ms2,SRC_FC_BIN,Flight Controller,FDR IMU & Vibration,Mean vibration on Z axis (VIBE.VibeZ mean). Vertical vibration directly affects image sharpness.,float,m/s²,auto,FALSE,No longer aspirational.
L1F_BIN_FDR_006,vibration_x_max_ms2,SRC_FC_BIN,Flight Controller,FDR IMU & Vibration,Peak vibration on X axis (VIBE.VibeX max). Spikes indicate turbulence or mechanical issues.,float,m/s²,auto,FALSE,No longer aspirational.
L1F_BIN_FDR_007,vibration_y_max_ms2,SRC_FC_BIN,Flight Controller,FDR IMU & Vibration,Peak vibration on Y axis (VIBE.VibeY max).,float,m/s²,auto,FALSE,No longer aspirational.
L1F_BIN_FDR_008,vibration_z_max_ms2,SRC_FC_BIN,Flight Controller,FDR IMU & Vibration,Peak vibration on Z axis (VIBE.VibeZ max).,float,m/s²,auto,FALSE,No longer aspirational.
L1F_BIN_FDR_009,roll_variance_deg,SRC_FC_BIN,Flight Controller,FDR Attitude & Gimbal,Variance of drone roll angle during cruise (ATT.Roll). High variance means unstable platform during image capture.,float,degrees,auto,FALSE,No longer aspirational — from BIN ATT messages.
L1F_BIN_FDR_010,pitch_variance_deg,SRC_FC_BIN,Flight Controller,FDR Attitude & Gimbal,Variance of drone pitch during cruise (ATT.Pitch). Forward/backward tilting affects image footprint.,float,degrees,auto,FALSE,No longer aspirational.
L1F_BIN_FDR_011,yaw_variance_deg,SRC_FC_BIN,Flight Controller,FDR Attitude & Gimbal,Variance of drone heading during cruise (ATT.Yaw). Heading instability causes image rows to misalign.,float,degrees,auto,FALSE,No longer aspirational. Naturally large during survey heading changes — interpret over cruise lines only.
L1F_BIN_FDR_012,gimbal_roll_mean_deg,SRC_FC_BIN,Flight Controller,FDR Attitude & Gimbal,Mean gimbal roll during cruise (CAM.R mean). Should be near zero for nadir-looking survey cameras.,float,degrees,auto,FALSE,No longer aspirational — from BIN CAM messages.
L1F_BIN_FDR_013,gimbal_pitch_mean_deg,SRC_FC_BIN,Flight Controller,FDR Attitude & Gimbal,Mean gimbal pitch (CAM.P mean). For mapping surveys typically near −90° (nadir); deviations indicate gimbal misconfiguration.,float,degrees,auto,FALSE,No longer aspirational.
L1F_BIN_FDR_014,gimbal_error_count,SRC_FC_BIN,Flight Controller,FDR Attitude & Gimbal,Number of gimbal stabilisation failure events logged. Scanned from ERR/EV messages in the BIN.,integer,count,auto,FALSE,No longer aspirational. May require event-pattern matching in EV/ERR streams.
L1F_BIN_FDR_015,attitude_sample_rate_hz,SRC_FC_BIN,Flight Controller,FDR Attitude & Gimbal,Sampling frequency of ATT records in Hz. Higher rate gives more precise variance characterisation.,float,Hz,auto,FALSE,No longer aspirational.
L1F_UI_001,planned_overlap_fwd_pct,SRC_UI_01,Flight Controller,Mission Plan (user input),Target forward (along-track) overlap percentage between consecutive images. Pure operator intent entered once per mission in the JSON form. Used as the planned denominator for overlap_fwd_execution_ratio.,float,percent,user_set,FALSE,Only available from operator — not encoded in BIN waypoint geometry without circular dependency on camera footprint.
L1F_UI_002,planned_overlap_lat_pct,SRC_UI_01,Flight Controller,Mission Plan (user input),Target lateral (cross-track) overlap percentage between adjacent flight lines. Pure operator intent entered once per mission in the JSON form. Used as the planned denominator for overlap_lat_execution_ratio.,float,percent,user_set,FALSE,Only available from operator — see L1F_UI_001 note.
L1F_API_001,mean_wind_speed_ms,SRC_API_01,External,Weather,"Mean wind speed at 10m height during the flight window, fetched from Open-Meteo historical API using takeoff lat/lng (BIN) and flight_start/end_utc (derived from BIN). Feeds wind_impact_ratio and wind_condition_score.",float,m/s,external_api,FALSE,Falls back to ATT-derived proxy if API unavailable — see BIN-internal fallback rule in wind_condition_score script hint.
