field_id,field_name,file_id,category,meaning,is_aspirational,notes
L1F_CP_017,raw_log_signature_valid,SRC_CP_OPLOG,Integrity,Signature validation result. CB_X expected; Trimble partial; Emlid/OTHER typically N/A.,FALSE,
L1F_CP_018,session_completed_normally,SRC_CP_OPLOG,Integrity,True if session was closed deliberately (not via crash/power loss).,FALSE,
L1F_CP_019,session_end_utc,SRC_CP_OPLOG,Timing,Device-reported session end (UTC). Cross-check against capture timestamps.,FALSE,
L1F_CP_020,device_type,SRC_CP_FORM,Device Identity,"Enum: CB_X / AEROPOINT / DGPS / OTHER. Drives oplog branching, antenna-height auto-fill, and indicator data-availability logic.",FALSE,
L1F_CP_021,device_id,SRC_CP_FORM,Device Identity,Operator-entered device ID. Cross-checked vs RTK device-reported device_id.,FALSE,
L1F_CP_022,device_role,SRC_CP_FORM,Survey Role,Locked to CHECK_POINT for this score. GCP-role points are excluded (covered by gcp_score).,FALSE,
L1F_CP_023,antenna_model,SRC_CP_FORM,Antenna Setup,Operator-selected antenna model. Cross-checked vs RTK device antenna_type.,FALSE,
L1F_CP_024,antenna_height_m,SRC_CP_FORM,Antenna Setup,Operator-entered antenna height. CB_X / AEROPOINT: factory-known and auto-filled (indicator = 100). DGPS / OTHER: operator-measured.,FALSE,
L1F_CP_025,antenna_height_units,SRC_CP_FORM,Antenna Setup,Explicit units (m/ft).,FALSE,
L1F_CP_026,antenna_measurement_type,SRC_CP_FORM,Antenna Setup,VERTICAL or SLANT. Only meaningful for DGPS / OTHER.,FALSE,
L1F_CP_027,measured_to_reference,SRC_CP_FORM,Antenna Setup,ARP / SLANT_MARK / MOUNT_BOTTOM / OTHER. Only meaningful for DGPS / OTHER.,FALSE,
L1F_CP_028,height_measured_count,SRC_CP_FORM,Antenna Setup,Number of independent height measurements. Only meaningful for DGPS / OTHER.,FALSE,
L1F_CP_029,tilt_compensation_used,SRC_CP_FORM,Setup,"Boolean — operator-declarative. ADVISORY only on non-tilt-comp devices (cannot be verified). On tilt-comp devices, replaced by logged tilt_logged_deg which IS verifiable.",FALSE,
L1F_CP_030,baseline_length_km,SRC_CP_FORM,Setup,Distance from rover to base/CORS at capture time. Critical for India where CORS coverage is patchy.,FALSE,
L1F_CP_031,ntrip_mountpoint,SRC_CP_FORM,Setup,NTRIP mountpoint operator was connected to.,FALSE,
L1F_CP_032,expected_mountpoint,SRC_CP_FORM,Setup,Project-declared expected mountpoint. Cross-check against actual.,FALSE,
L1F_CP_033,accuracy_target_m,SRC_CP_FORM,Survey Config,Survey accuracy target (e.g. 0.02 m for cm-grade work). σ thresholds expressed as multiples of this target.,FALSE,
L1F_CP_034,target_type,SRC_CP_FORM,Target,Mark physical type (printed_paper / painted / cb_x_surface / aeropoint_surface / dgps_peg / other).,FALSE,
L1F_CP_035,mark_integrity_confirmed,SRC_CP_FORM,Target,Operator confirmation that the mark was intact at capture. ADVISORY only — not scored.,FALSE,
L1F_CP_036,mark_photo_captured,SRC_CP_FORM,Target,Boolean — was a photo of the mark taken. ADVISORY flag CP_NO_MARK_PHOTO if False.,FALSE,
L1F_CP_037,flight_start_utc,SRC_CP_FORM,Flight Context,Drone flight start (UTC) from upload bundle. Used to compute capture-to-flight delay.,FALSE,
L1F_CP_038,flight_end_utc,SRC_CP_FORM,Flight Context,Drone flight end (UTC) from upload bundle.,FALSE,
